Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,_clang_O2,human,radiff2,3_clang_O2,4_clang_O2,0.86
T1_WordCount,_clang_O2,human,radiff2,3_clang_O2,5_clang_O2,0.876
T1_WordCount,_clang_O2,human,radiff2,4_clang_O2,5_clang_O2,0.902
T1_WordCount,_clang_O2,gemini,ssdeep,1_clang_O2,2_clang_O2,44
T1_WordCount,_clang_O2,gemini,ssdeep,1_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,gemini,ssdeep,1_clang_O2,4_clang_O2,44
T1_WordCount,_clang_O2,gemini,ssdeep,1_clang_O2,5_clang_O2,58
T1_WordCount,_clang_O2,gemini,ssdeep,2_clang_O2,3_clang_O2,0
T1_WordCount,_clang_O2,gemini,ssdeep,2_clang_O2,4_clang_O2,68
T1_WordCount,_clang_O2,gemini,ssdeep,2_clang_O2,5_clang_O2,50
T1_WordCount,_clang_O2,gemini,ssdeep,3_clang_O2,4_clang_O2,0
T1_WordCount,_clang_O2,gemini,ssdeep,3_clang_O2,5_clang_O2,0
T1_WordCount,_clang_O2,gemini,ssdeep,4_clang_O2,5_clang_O2,54
T1_WordCount,_clang_O2,gemini,sdhash,3_clang_O2,5_clang_O2,016
T1_WordCount,_clang_O2,gemini,sdhash,4_clang_O2,3_clang_O2,013
T1_WordCount,_clang_O2,gemini,sdhash,2_clang_O2,1_clang_O2,025
T1_WordCount,_clang_O2,gemini,sdhash,4_clang_O2,5_clang_O2,029
T1_WordCount,_clang_O2,gemini,sdhash,2_clang_O2,4_clang_O2,072
T1_WordCount,_clang_O2,gemini,sdhash,2_clang_O2,3_clang_O2,011
T1_WordCount,_clang_O2,gemini,sdhash,2_clang_O2,5_clang_O2,026
T1_WordCount,_clang_O2,gemini,sdhash,1_clang_O2,4_clang_O2,027
T1_WordCount,_clang_O2,gemini,sdhash,1_clang_O2,3_clang_O2,021
T1_WordCount,_clang_O2,gemini,sdhash,1_clang_O2,5_clang_O2,072
T1_WordCount,_clang_O2,gemini,radiff2,1_clang_O2,2_clang_O2,0.959
T1_WordCount,_clang_O2,gemini,radiff2,1_clang_O2,3_clang_O2,0.951
T1_WordCount,_clang_O2,gemini,radiff2,1_clang_O2,4_clang_O2,0.962
T1_WordCount,_clang_O2,gemini,radiff2,1_clang_O2,5_clang_O2,0.975
